client_id,client_name,region,registration_date
255,"НПО «Бобылев, Федосеев и Фомин»",Могилёвская,2023-09-21
256,ОАО «Пестов-Данилов»,Могилёвская,2025-05-12
257,НПО «Иванова»,Витебская,2023-10-09
258,Боброва Лимитед,Гомельская,2023-09-23
259,АО «Юдина Алексеева»,Витебская,2024-04-04
260,АО «Фролов»,Брестская,2024-10-19
261,"ЗАО «Рябова, Елисеева и Осипова»",Гродненская,2024-02-04
262,Мишин Групп,Минская,2025-07-18
263,"ИП «Кононова, Медведева и Гордеев»",Гомельская,2024-04-06
264,Белоусова Инк,Гомельская,2024-11-28
265,Национальная компьютерная корпорация,Брестская,2025-03-27
266,ООО «Родионов Лобанов»,Могилёвская,2025-01-06
267,АО «Архипов»,Витебская,2023-12-26
268,Алексеев Инкорпорэйтед,Витебская,2023-08-15
269,"НПО «Власова, Соболева и Субботин»",Гродненская,2024-03-26
270,АО «Игнатьев»,Могилёвская,2025-02-12
271,ООО «Кононова-Буров»,Гродненская,2023-10-07
272,Mail.Ru Group,Витебская,2025-07-30
273,ОАО «Кошелева-Егорова»,Гродненская,2024-11-13
274,Нефтетранссервис,Минская,2024-07-08
275,ЗАО «Савельев»,Могилёвская,2024-12-28
276,ИП «Ларионова Бобров»,Могилёвская,2023-10-07
277,АО «Кошелева»,Могилёвская,2024-04-07
278,Галкина Лтд,Гродненская,2025-07-28
279,НПО «Крылов-Колобов»,Гродненская,2025-01-28
280,ООО «Константинов-Бурова»,Могилёвская,2024-03-11
281,Орлова Групп,Могилёвская,2024-07-18
282,ЗАО «Федоров»,Могилёвская,2025-07-03
283,"ООО «Юдин, Жукова и Овчинников»",Могилёвская,2023-09-02
284,АО «Блохина»,Минская,2025-01-17
285,Лазарева Инк,Брестская,2025-03-29
286,Эркафарм,Витебская,2024-11-02
287,ОАО «Белякова»,Минская,2023-12-27
288,"ЗАО «Большакова, Доронин и Гордеева»",Минская,2024-03-16
289,ЗАО «Уваров Анисимова»,Брестская,2025-05-06
290,"РАО «Субботин, Игнатов и Зыков»",Брестская,2024-04-27
291,ООО «Никитин-Гришина»,Гомельская,2023-12-15
292,НПО «Тихонова-Попова»,Гродненская,2024-03-23
293,Ренессанс Кредит,Витебская,2025-05-05
294,Богданов Групп,Могилёвская,2023-10-20
295,ИП «Юдин-Жуков»,Витебская,2025-04-04
296,"ОАО «Зайцева, Муравьева и Смирнов»",Минская,2025-01-04
297,Стрелков Групп,Могилёвская,2023-09-24
298,ЗАО «Владимиров Федотова»,Гомельская,2025-03-22
299,"ООО «Доронин, Некрасова и Орлов»",Брестская,2024-01-18
300,ЗАО «Белоусов-Шашкова»,Могилёвская,2024-03-23
301,"ООО «Лыткин, Николаев и Павлов»",Гродненская,2024-12-14
302,Ефремова Инкорпорэйтед,Гомельская,2025-02-14
303,ИП «Гусева Новиков»,Гродненская,2024-10-14
304,"РАО «Савельев, Крюкова и Якушева»",Могилёвская,2023-11-09
305,"РАО «Филиппова, Пахомова и Тимофеев»",Гомельская,2024-09-03
306,ДСК Автобан,Гомельская,2024-09-11
307,Кордиант,Минская,2024-06-30
308,"НПО «Мартынов, Сысоев и Гусева»",Гродненская,2023-12-03
309,"АО «Князева, Полякова и Волкова»",Гродненская,2025-03-14
310,ОАО «Кудрявцев Жданов»,Гродненская,2025-04-04
311,"ИП «Рожкова, Моисеева и Петрова»",Гродненская,2024-03-07
312,ИП «Мухина»,Могилёвская,2024-03-31
313,Королева Лимитед,Гродненская,2024-08-27
314,НПО «Комарова Меркушев»,Витебская,2024-05-07
315,ЗАО «Хохлова-Макарова»,Гомельская,2024-05-31
316,"ИП «Фадеева, Мельников и Гаврилова»",Минская,2024-02-14
317,Комиссаров Инкорпорэйтед,Гродненская,2025-06-07
318,"РАО «Калашников, Копылова и Блохин»",Минская,2025-02-10
319,"НПО «Шестакова, Кошелева и Харитонова»",Брестская,2024-12-31
320,НПО «Селиверстова Богданов»,Витебская,2023-11-19
321,Пестова Лтд,Могилёвская,2024-04-26
322,ОАО «Кулакова»,Могилёвская,2024-07-19
323,ЗАО «Сазонова»,Брестская,2024-08-01
324,ООО «Дмитриев»,Витебская,2024-06-26
325,ОХК Уралхим,Минская,2023-10-10
326,"ОАО «Силина, Лобанов и Ларионов»",Брестская,2024-12-09
327,РэйлАльянс,Минская,2024-12-29
328,ОАО «Прохоров»,Гродненская,2025-06-05
329,Сетевая компания,Минская,2024-06-03
330,ООО «Рыбакова-Лаврентьева»,Гомельская,2025-03-24
331,"ОАО «Киселева, Богданов и Осипова»",Минская,2023-10-05
332,ООО «Карпова Князева»,Гомельская,2024-03-23
333,ООО «Королев Беспалов»,Гродненская,2023-10-28
334,Мерседес-Бенц Рус (Mercedes-Benz),Гродненская,2024-07-22
335,ООО «Моисеев Никонова»,Гродненская,2023-09-04
336,ИП «Горбачева»,Брестская,2023-09-25
337,ИП «Дементьев-Самойлов»,Гродненская,2023-12-04
338,ЗАО «Бирюков Степанова»,Брестская,2025-01-23
339,АО «Шестаков Яковлев»,Витебская,2024-11-28
340,"ЗАО «Колесникова, Трофимов и Соколова»",Минская,2025-07-22
341,Дмитриев Инкорпорэйтед,Витебская,2024-08-05
342,Русская медная компания,Витебская,2024-08-03
343,ООО «Соколов-Бирюкова»,Витебская,2025-04-28
344,"ИП «Мельникова, Андреева и Веселов»",Витебская,2023-10-09
345,"ИП «Лазарева, Моисеев и Антонова»",Гомельская,2024-07-07
346,Гугл (Google),Витебская,2024-08-01
347,АО «Комиссаров-Артемьева»,Могилёвская,2024-08-22
348,АО «Фадеев»,Минская,2024-10-30
349,ЗАО «Капустин-Родионова»,Минская,2024-03-29
350,ОАО «Александрова»,Брестская,2024-06-15
351,РАО «Степанова-Ситникова»,Минская,2025-01-26
352,Стройгазмонтаж,Гомельская,2025-07-20
353,Копылова Групп,Минская,2025-05-20
354,ОАО «Ефремова-Рыбаков»,Витебская,2024-11-26
355,АО «Анисимова-Щербаков»,Гродненская,2024-12-07
356,ООО «Лукина-Абрамова»,Витебская,2025-03-31
357,Мираторг,Могилёвская,2024-12-12
358,ООО «Веселова»,Минская,2023-09-12
359,ОАО «Бобылев-Виноградов»,Могилёвская,2024-11-05
360,ООО «Белоусов-Королев»,Могилёвская,2025-07-19
361,ИП «Михеева-Никонов»,Брестская,2023-12-27
362,АО «Кириллова Орлова»,Гродненская,2025-06-23
363,ЗАО «Козлова-Якушева»,Могилёвская,2024-03-11
364,ИП «Якушева Муравьева»,Брестская,2024-08-21
365,ООО «Фадеева-Ларионов»,Могилёвская,2025-04-28
366,НПО «Селиверстова»,Гомельская,2023-10-10
367,ОАО «Пестова Савельев»,Брестская,2025-06-11
368,Водоканал Санкт-Петербурга,Гродненская,2025-05-30
369,Гурьев Инк,Гомельская,2025-04-18
370,"РАО «Лобанов, Белова и Крылов»",Витебская,2024-07-31
371,ООО «Галкина-Фомина»,Минская,2024-03-03
372,Фадеев Лимитед,Гродненская,2025-08-12
373,РАО «Давыдова-Абрамов»,Гомельская,2024-08-13
374,ЗАО «Вишнякова»,Гродненская,2024-10-22
375,ЗАО «Зуев-Филиппова»,Брестская,2023-10-01
376,Луидор,Брестская,2025-07-19
377,Группа Газфонд,Гомельская,2024-12-29
378,"РАО «Матвеев, Тарасов и Фомичева»",Могилёвская,2023-09-10
379,НПО «Жуков-Григорьев»,Минская,2024-02-11
380,Дорофеев Групп,Гродненская,2024-07-30
381,ООО «Стрелкова-Панфилова»,Минская,2025-02-03
382,Дьячков Лтд,Гродненская,2025-03-11
383,ОХК Уралхим,Витебская,2025-06-30
384,"ООО «Лазарев, Пахомова и Смирнова»",Минская,2024-12-03
385,"ИП «Голубев, Маслова и Гришин»",Могилёвская,2024-01-28
386,"НПО «Стрелкова, Воронов и Гурьева»",Витебская,2024-05-20
387,ООО «Зиновьев»,Могилёвская,2024-10-08
388,Мазда Соллерс Мануфэкчуринг Рус,Могилёвская,2023-09-29
389,"ИП «Щербаков, Кондратьева и Николаев»",Минская,2025-06-01
390,"РАО «Шестакова, Родионов и Тимофеева»",Гомельская,2024-12-21
391,Меркушева Инк,Могилёвская,2023-09-21
392,АО «Максимов-Кириллова»,Брестская,2024-10-24
393,РАО «Федосеева Жданова»,Минская,2024-10-16
394,ЗАО «Горбунов Кулагина»,Витебская,2025-06-18
395,ИП «Дроздова Анисимов»,Брестская,2025-04-16
396,Иванов и партнеры,Брестская,2025-06-09
397,АО «Орлова Овчинников»,Могилёвская,2025-04-24
398,РАО «Коновалова Симонова»,Минская,2023-09-02
399,РАО «Терентьев Елисеева»,Витебская,2025-04-16
400,ЗАО «Юдин Морозов»,Гродненская,2023-12-26
401,РАО «Максимов-Селезнева»,Брестская,2024-07-04
402,Данилов Лимитед,Брестская,2023-10-01
403,"НПО «Савина, Владимиров и Васильева»",Гродненская,2024-11-16
404,НПО «Новикова»,Гомельская,2024-02-01
405,Беляев Лимитед,Витебская,2025-04-12
406,Нижфарм (Nidda Midco),Брестская,2024-04-03
407,"ООО «Селиверстова, Семенов и Ильин»",Гродненская,2024-08-19
408,"НПО «Афанасьева, Рябов и Иванова»",Гомельская,2025-02-16
409,"РАО «Бирюкова, Сорокин и Носков»",Витебская,2024-11-27
410,РАО «Максимов Хохлов»,Витебская,2024-12-09
411,Юг-Нефтепродукт,Минская,2024-10-11
412,Интернешнл Пейпер (International Paper),Гомельская,2024-06-03
413,Михайлова и партнеры,Гродненская,2024-07-30
414,Жукова Групп,Брестская,2023-10-29
415,Московский кредитный банк,Витебская,2025-06-05
416,Центр финансовых технологий,Гомельская,2025-02-22
417,НПО «Лихачев Лаврентьева»,Витебская,2024-02-06
418,"ИП «Ларионова, Буров и Лаврентьев»",Витебская,2024-07-01
419,Группа Содружество,Минская,2024-04-11
420,"ИП «Казакова, Панфилов и Дементьев»",Гомельская,2023-12-09
421,Банк Возрождение,Могилёвская,2023-10-04
422,ОАО «Романов»,Гомельская,2023-10-24
423,"РАО «Копылова, Овчинникова и Кононов»",Гомельская,2025-05-04
424,ЗАО «Ковалев Лазарева»,Гомельская,2024-10-22
425,Прохоров Лимитед,Гомельская,2023-11-15
426,"ИП «Мамонтова, Казакова и Лихачева»",Гродненская,2025-03-17
427,"ОАО «Красильникова, Абрамова и Орлов»",Минская,2024-03-23
428,Ефремов и партнеры,Минская,2023-11-01
429,Петрова Инкорпорэйтед,Могилёвская,2023-12-11
430,Русский уголь,Брестская,2024-02-03
431,ИП «Кулакова»,Витебская,2024-10-18
432,РАО «Хохлова-Наумов»,Гомельская,2024-10-31
433,ОАО «Гордеев Кулакова»,Витебская,2024-10-21
434,Максимова Лимитед,Гомельская,2024-12-24
435,Зайцев Лтд,Гродненская,2025-08-03
436,Ягуар ленд ровер,Витебская,2023-09-04
437,ИП «Котова Хохлова»,Брестская,2024-04-08
438,ИП «Попов-Денисов»,Могилёвская,2025-06-18
439,ЗАО «Ширяева Брагин»,Брестская,2023-10-06
440,ООО «Калинина Меркушева»,Брестская,2023-09-05
441,ООО «Михайлова»,Витебская,2024-01-27
442,"НПО «Буров, Федосеев и Веселов»",Гродненская,2024-05-26
443,ООО «Кулагин-Игнатьева»,Витебская,2024-10-26
444,Романов Инк,Гомельская,2023-12-11
445,ОАО «Осипова Комаров»,Витебская,2025-01-17
446,ИП «Доронин»,Минская,2025-01-08
447,"НПО «Фролова, Доронин и Никонов»",Могилёвская,2024-03-12
448,ОАО «Васильева Данилов»,Минская,2024-05-07
449,"РАО «Ермаков, Щербакова и Щербакова»",Гродненская,2024-11-15
450,"ЗАО «Ефимова, Горбачев и Тарасов»",Брестская,2024-01-31
451,"ЗАО «Макаров, Попов и Исаков»",Могилёвская,2024-04-03
452,ОАО «Егоров Жданова»,Минская,2024-02-27
453,ИП «Журавлев-Попов»,Брестская,2024-09-02
454,ГВСУ по специальным объектам,Витебская,2023-12-27
455,НПО «Беляева Горбунова»,Минская,2024-02-07
456,Баранова Лимитед,Минская,2025-04-30
457,РАО «Евсеев-Дементьева»,Гродненская,2025-03-11
458,НПО «Петров»,Витебская,2024-08-04
459,ОАО «Исаев»,Могилёвская,2024-11-02
460,"ЗАО «Корнилов, Зуева и Антонова»",Гомельская,2024-07-02
461,РАО «Корнилов-Волков»,Витебская,2024-04-21
462,ОАО «Русакова Осипова»,Витебская,2024-08-04
463,Русэнергоресурс,Брестская,2023-10-20
464,"ОАО «Соболев, Мартынов и Уваров»",Минская,2024-11-12
465,"ЗАО «Яковлев, Вишняков и Фадеева»",Гомельская,2024-04-09
466,Рулог (Havi),Гродненская,2024-02-01
467,ОАО «Ширяев-Степанов»,Гродненская,2024-09-12
468,Группа Илим,Гродненская,2024-09-28
469,Колесников и партнеры,Минская,2024-05-11
470,Совкомбанк,Могилёвская,2024-02-12
471,АО «Копылов»,Гродненская,2024-01-13
472,ЗАО «Тимофеев Некрасова»,Гродненская,2025-03-24
473,Метро Кэш энд Керри (Metro Cash & Carry),Гомельская,2023-12-28
474,Якобс Дау Эгбертс Рус (Jacobs Douwe Egberts),Минская,2024-08-07
475,Некрасова Лтд,Гомельская,2024-07-26
476,Максидом,Витебская,2024-12-24
477,ГК Орими Трэйд,Могилёвская,2025-06-14
478,ФГ Будущее,Минская,2023-12-08
479,"РАО «Субботин, Доронин и Дмитриева»",Гомельская,2024-04-04
480,ЗАО «Макаров-Крюков»,Могилёвская,2024-09-10
481,ИП «Стрелков»,Брестская,2024-07-29
482,РАО «Зиновьев»,Витебская,2025-05-19
483,РАО «Веселова-Ситникова»,Гомельская,2025-06-07
484,ЗАО «Соболева»,Могилёвская,2024-09-09
485,"НПО «Герасимова, Титова и Тетерина»",Витебская,2025-04-19
486,Объединенная судостроительная корпорация,Гродненская,2024-07-27
487,Большакова Инкорпорэйтед,Витебская,2024-04-18
488,Селиверстов Лтд,Минская,2023-12-08
489,НПО «Ершов»,Могилёвская,2025-05-03
490,ООО «Романов-Морозова»,Витебская,2024-12-26
491,РАО «Горшков Быкова»,Витебская,2024-07-18
492,"ЗАО «Виноградова, Николаева и Филиппов»",Брестская,2024-05-21
493,ИП «Носов-Зыков»,Витебская,2025-04-05
494,ООО «Полякова-Орлов»,Минская,2025-04-17
495,ТД БелАЗ,Витебская,2023-10-03
496,РАО «Кудрявцева-Щербакова»,Гомельская,2024-06-08
497,ИП «Воронова-Артемьева»,Гродненская,2025-01-03
498,Мамонтова Инкорпорэйтед,Минская,2024-04-27
499,ЗАО «Шестакова»,Витебская,2023-11-30
500,ИП «Кондратьева-Миронова»,Гродненская,2025-02-05
